"VGISS_8201","DATA/C08966XX/C0896644_CALIB.LBL  ","C0896644_CALIB.IMG  ","CALIBRATED_IMAGE             ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896644_CLEANED.LBL","C0896644_CLEANED.IMG","CLEANED_IMAGE                ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896644_GEOMA.LBL  ","C0896644_GEOMA.DAT  ","TIEPOINT_TABLE               ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896644_GEOMED.LBL ","C0896644_GEOMED.IMG ","GEOMETRICALLY_CORRECTED_IMAGE","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896644_RAW.LBL    ","C0896644_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896644_RESLOC.LBL ","C0896644_RESLOC.DAT ","RESEAU_TABLE                 ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0382N2-081", 8966.44,"1989-06-05T09:05:12","1989-06-06T15:17:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896651_CALIB.LBL  ","C0896651_CALIB.IMG  ","CALIBRATED_IMAGE             ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896651_CLEANED.LBL","C0896651_CLEANED.IMG","CLEANED_IMAGE                ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896651_GEOMA.LBL  ","C0896651_GEOMA.DAT  ","TIEPOINT_TABLE               ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896651_GEOMED.LBL ","C0896651_GEOMED.IMG ","GEOMETRICALLY_CORRECTED_IMAGE","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
